Position,Age,Shots per 90,Aerial Battles Won %,Goal Creation per 90,Full 90s Played,Tackles Made per 90,Tackles Won per 90,Times Team Pressed Opposition per 90,Blocks  per 90,Interceptions per 90,Clearances per 90,Fouls Commited per 90,Fouls Drawn per 90,Loose Balls Recovered per 90,Touches per 90,Successful Dribbles per 90,Attempted Dribbles per 90,Distance Ran per 90,Distance Covered With Ball per 90,Times Dispossessed per 90,Passes Received per 90,Injury_Type,Position_Encoded
DF,21,0.41,22.7,0.16,32.01111111111111,2.1555015619576534,1.155848663658452,13.557792433182922,2.6865671641791042,1.7493925720236028,2.1867407150295035,0.9684137452273516,1.843110031239153,5.5293300937174585,57.94862894828184,1.0308920513710516,2.436653939604304,199.368274904547,121.61402290871224,0.9371745921555015,32.3950017355085,0,0
DF,20,0.64,51.3,0.3,20.31111111111111,3.741794310722101,2.1170678336980306,19.792122538293217,1.6739606126914661,1.8708971553610505,1.5754923413566742,0.9846827133479212,1.1323851203501094,6.646608315098469,63.06892778993436,1.9693654266958425,3.594091903719913,182.36323851203502,113.23851203501094,1.5754923413566742,35.89168490153173,2,0
DF,23,0.32,62.4,0.27,22.166666666666668,1.8045112781954886,0.9924812030075187,9.293233082706767,1.6240601503759398,2.2105263157894735,3.6541353383458643,0.8120300751879699,0.8571428571428571,8.390977443609023,49.984962406015036,0.49624060150375937,0.7669172932330827,152.70676691729324,92.34586466165413,0.49624060150375937,24.090225563909772,1,0
DF,26,0.49,83.7,0.0,10.255555555555556,1.4626218851570962,0.4875406283856988,6.825568797399783,1.170097508125677,1.7551462621885157,3.022751895991332,0.780065005417118,0.4875406283856988,7.605633802816901,91.26760563380282,0.0,0.1950162513542795,347.1289274106175,217.05308775731308,0.09750812567713975,70.59588299024918,0,0
DF,22,1.61,45.0,0.54,31.7,1.38801261829653,0.7570977917981073,9.085173501577287,1.2302839116719244,2.3974763406940065,1.3564668769716088,0.5047318611987381,0.28391167192429023,10.063091482649842,94.9211356466877,0.8201892744479495,1.38801261829653,190.66246056782336,104.57413249211356,0.8201892744479495,59.27444794952682,2,0
DF,30,1.79,69.4,0.37,24.07777777777778,1.868943239501615,1.1628980156898938,12.459621596677433,1.6197508075680664,2.7411167512690353,2.284263959390863,1.3705583756345177,1.4120904476234424,8.970927549607753,74.21781264420858,0.7891093677895707,1.6197508075680664,204.21319796954313,106.73742501153669,1.329026303645593,43.068758652514994,0,0
DF,26,0.08,54.2,0.04,23.58888888888889,1.0598210080075365,0.5087140838436175,7.2915685350918515,2.03485633537447,1.2717852096090438,4.66321243523316,0.7206782854451248,0.3815355628827131,8.944889307583608,72.15261422515309,0.25435704192180875,0.3391427225624117,219.00141309467736,124.6349505416863,0.08478568064060292,52.39755063589261,0,0
DF,25,0.25,66.1,0.15,32.4,1.1111111111111112,0.7098765432098766,4.84567901234568,1.2654320987654322,1.8518518518518519,4.814814814814815,0.5864197530864198,0.2469135802469136,8.858024691358025,77.4074074074074,0.1851851851851852,0.2469135802469136,276.60493827160496,133.179012345679,0.2469135802469136,55.18518518518519,0,0
DF,29,0.75,49.0,0.12,25.244444444444444,3.1294014084507045,1.7825704225352113,15.528169014084508,1.9410211267605635,2.1390845070422535,2.693661971830986,1.1091549295774648,0.9507042253521127,10.418133802816902,73.71919014084507,0.9903169014084507,1.6241197183098592,257.83890845070425,152.11267605633805,0.7922535211267606,44.92077464788733,1,0
DF,31,0.57,60.5,0.35,23.0,2.347826086956522,1.3478260869565217,15.478260869565217,2.6956521739130435,1.608695652173913,3.0869565217391304,1.2608695652173914,0.34782608695652173,7.3478260869565215,85.1304347826087,0.6521739130434783,0.8695652173913043,222.2173913043478,130.17391304347825,0.34782608695652173,60.34782608695652,3,0
DF,27,0.0,71.4,0.0,2.411111111111111,3.317972350230415,1.2442396313364057,8.70967741935484,2.0737327188940093,3.317972350230415,4.147465437788019,0.8294930875576038,0.0,9.539170506912443,46.86635944700461,0.0,0.8294930875576038,129.81566820276498,58.894009216589865,1.2442396313364057,21.981566820276498,2,0
DF,22,0.22,58.3,0.0,9.277777777777779,1.2934131736526946,0.7544910179640718,7.868263473053892,1.0778443113772453,0.9700598802395208,3.0179640718562872,0.9700598802395208,0.43113772455089816,10.778443113772454,60.57485029940119,0.0,0.0,193.58083832335328,120.71856287425149,0.10778443113772454,34.706586826347305,0,0
DF,25,0.65,65.5,0.0,29.211111111111112,1.2666413084823127,0.7189045264359072,8.147584632940282,2.1909471281856217,3.2521871434005325,5.7854697603651575,1.300874857360213,0.5819703309243058,11.09166983643971,61.141118295930006,0.03423354887790034,0.06846709775580068,142.61696462533283,68.02206162038797,0.13693419551160135,33.51464435146443,0,0
DF,31,0.0,37.5,0.0,3.7444444444444445,2.4035608308605343,1.0682492581602374,20.02967359050445,2.9376854599406528,0.8011869436201781,1.8694362017804154,1.3353115727002967,0.26706231454005935,4.540059347181009,60.89020771513353,0.0,0.26706231454005935,145.28189910979228,57.68545994065282,1.3353115727002967,34.1839762611276,1,0
DF,30,0.2,54.2,0.0,10.0,2.7,2.2,11.0,2.1,1.9,3.9,0.9,0.2,10.2,64.9,0.4,0.5,171.5,83.5,0.2,41.2,3,0
DF,19,0.7,68.4,0.0,4.311111111111111,0.6958762886597939,0.4639175257731959,9.510309278350515,1.6237113402061856,1.8556701030927836,3.711340206185567,0.4639175257731959,0.9278350515463918,8.582474226804123,35.72164948453609,0.23195876288659795,0.23195876288659795,74.45876288659794,44.30412371134021,0.9278350515463918,16.469072164948454,1,0
